   n      γ   method      k    fgs         rp         rd       time
 900   0.60     IAPG    958   1639   5.19e-15   9.98e-02   00:04:56
 900   0.60       IR   1013   1939   5.40e-15   1.00e-01   00:06:15
 900   0.70     IAPG    977   1657   4.82e-15   9.98e-02   00:05:19
 900   0.70       IR   1043   2003   5.35e-15   9.99e-02   00:06:35
 900   0.80     IAPG    996   1694   5.13e-15   9.98e-02   00:05:26
 900   0.80       IR   1059   1970   5.18e-15   9.98e-02   00:06:38
 900   0.90     IAPG   1008   1727   4.98e-15   1.00e-01   00:05:39
 900   0.90       IR   1065   2013   5.17e-15   1.00e-01   00:07:16
 900   1.00     IAPG   1022   1740   5.05e-15   9.98e-02   00:05:21
 900   1.00       IR   1079   2057   5.35e-15   1.00e-01   00:06:42
1000   0.10     IAPG    835   1247   5.62e-15   9.97e-02   00:05:25
1000   0.10       IR    868   1590   5.60e-15   9.99e-02   00:07:08
1000   0.20     IAPG    904   1491   6.06e-15   1.00e-01   00:06:46
1000   0.20       IR    947   1708   5.45e-15   9.99e-02   00:07:57
1000   0.30     IAPG    964   1620   5.45e-15   1.00e-01   00:07:14
1000   0.30       IR   1013   1679   5.44e-15   1.00e-01   00:07:58
1000   0.40     IAPG   1005   1668   5.56e-15   1.00e-01   00:07:37
1000   0.40       IR   1059   1940   5.55e-15   1.00e-01   00:09:54
1000   0.50     IAPG   1038   1739   5.33e-15   9.98e-02   00:07:44
1000   0.50       IR   1093   2005   5.53e-15   9.99e-02   00:08:16
1000   0.60     IAPG   1052   1787   5.56e-15   9.99e-02   00:06:56
1000   0.60       IR   1122   2120   5.49e-15   9.99e-02   00:08:30
1000   0.70     IAPG   1083   1838   5.41e-15   9.98e-02   00:07:09
1000   0.70       IR   1141   2181   5.18e-15   9.98e-02   00:08:49
1000   0.80     IAPG   1094   1857   5.58e-15   9.99e-02   00:07:10
1000   0.80       IR   1156   2187   5.31e-15   1.00e-01   00:08:51
1000   0.90     IAPG   1111   1891   5.56e-15   1.00e-01   00:07:26
1000   0.90       IR   1178   2261   5.22e-15   9.99e-02   00:09:15
1000   1.00     IAPG   1129   1927   5.48e-15   9.99e-02   00:07:36
1000   1.00       IR   1197   2323   5.50e-15   9.99e-02   00:09:32

